# reStructuredText files in the GraphicsMagick source tree, which get
# converted to HTML files in the www/ subdirectory.

# rst_file                  html_file                     stylesheet_url         url_prefix
Copyright.txt               www/Copyright.html            docutils-articles.css  ../
NEWS.txt                    www/NEWS.html                 docutils-articles.css  ../
www/ChangeLog-2001.rst      www/ChangeLog-2001.html       docutils-articles.css  ../
www/ChangeLog-2002.rst      www/ChangeLog-2002.html       docutils-articles.css  ../
www/ChangeLog-2003.rst      www/ChangeLog-2003.html       docutils-articles.css  ../
www/ChangeLog-2004.rst      www/ChangeLog-2004.html       docutils-articles.css  ../
www/ChangeLog-2005.rst      www/ChangeLog-2005.html       docutils-articles.css  ../
www/ChangeLog-2006.rst      www/ChangeLog-2006.html       docutils-articles.css  ../
www/ChangeLog-2007.rst      www/ChangeLog-2007.html       docutils-articles.css  ../
www/ChangeLog-2008.rst      www/ChangeLog-2008.html       docutils-articles.css  ../
www/ChangeLog-2009.rst      www/ChangeLog-2009.html       docutils-articles.css  ../
www/ChangeLog-2010.rst      www/ChangeLog-2010.html       docutils-articles.css  ../
www/ChangeLog-2011.rst      www/ChangeLog-2011.html       docutils-articles.css  ../
www/ChangeLog-2012.rst      www/ChangeLog-2012.html       docutils-articles.css  ../
www/ChangeLog-2013.rst      www/ChangeLog-2013.html       docutils-articles.css  ../
www/ChangeLog-2014.rst      www/ChangeLog-2014.html       docutils-articles.css  ../
www/ChangeLog-2015.rst      www/ChangeLog-2015.html       docutils-articles.css  ../
www/ChangeLog-2016.rst      www/ChangeLog-2016.html       docutils-articles.css  ../
www/ChangeLog-2017.rst      www/ChangeLog-2017.html       docutils-articles.css  ../
www/ChangeLog-2018.rst      www/ChangeLog-2018.html       docutils-articles.css  ../
www/ChangeLog-2019.rst      www/ChangeLog-2019.html       docutils-articles.css  ../
www/Changelog.rst           www/Changelog.html            docutils-articles.css  ../
www/Changes.rst             www/Changes.html              docutils-articles.css  ../
www/FAQ.rst                 www/FAQ.html                  docutils-articles.css  ../
www/Hg.rst                  www/Hg.html                   docutils-articles.css  ../
www/INSTALL-unix.rst        www/INSTALL-unix.html         docutils-articles.css  ../
www/INSTALL-windows.rst     www/INSTALL-windows.html      docutils-articles.css  ../
www/ImageMagickObject.rst   www/ImageMagickObject.html    docutils-articles.css ../
www/OpenMP.rst              www/OpenMP.html               docutils-articles.css  ../
www/authors.rst             www/authors.html              docutils-articles.css  ../
www/benchmarks.rst          www/benchmarks.html           docutils-articles.css  ../
www/bugs.rst                www/bugs.html                 docutils-articles.css  ../
www/contribute.rst          www/contribute.html           docutils-articles.css  ../
www/download.rst            www/download.html             docutils-articles.css  ../
www/formats.rst             www/formats.html              docutils-articles.css  ../
www/index.rst               www/index.html                docutils-articles.css   ./
www/links.rst               www/links.html                docutils-articles.css  ../
www/miff.rst                www/miff.html                 docutils-articles.css  ../
www/mission.rst             www/mission.html              docutils-articles.css  ../
www/motion-picture.rst      www/motion-picture.html       docutils-articles.css  ../
www/perl.rst                www/perl.html                 docutils-articles.css  ../
www/process.rst             www/process.html              docutils-articles.css  ../
www/programming.rst         www/programming.html          docutils-articles.css  ../
www/project.rst             www/project.html              docutils-articles.css  ../
www/quantize.rst            www/quantize.html             docutils-articles.css  ../
www/reference.rst           www/reference.html            docutils-articles.css  ../
www/security.rst            www/security.html             docutils-articles.css  ../
www/thanks.rst              www/thanks.html               docutils-articles.css  ../
www/tools.rst               www/tools.html                docutils-articles.css  ../
www/utilities.rst           www/utilities.html            docutils-articles.css  ../
